cell,trace,segment,epoch_start_ms,epoch_stop_ms,epoch_duration_ms,epoch_current_delta_pA,requested_start_ms,requested_stop_ms,segment_start_ms,segment_stop_ms,segment_duration_ms,n_samples,was_clipped,voltage_output,current_output,time_output,plot_output
m20240527cd,v75ctrl,depolarizing_step,200.0,500.0,300.0,290.61080699999997,0.0,1200.0,0.0,1200.0,1200.0,24000,False,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v75ctrl_depolarizing_step_v.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v75ctrl_depolarizing_step_i.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v75ctrl_depolarizing_step_t_ms.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v75ctrl_depolarizing_step_plot.png
m20240527cd,v75ctrl,hyperpolarizing_pulse,2550.0,2600.0,50.0,-31.248473999999995,2050.0,3100.0,2050.0,2700.0,650.0,13000,True,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v75ctrl_hyperpolarizing_pulse_v.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v75ctrl_hyperpolarizing_pulse_i.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v75ctrl_hyperpolarizing_pulse_t_ms.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v75ctrl_hyperpolarizing_pulse_plot.png
m20240527cd,v76ctrl,depolarizing_step,200.0,500.0,300.0,387.48107699999997,0.0,1200.0,0.0,1200.0,1200.0,24000,False,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v76ctrl_depolarizing_step_v.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v76ctrl_depolarizing_step_i.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v76ctrl_depolarizing_step_t_ms.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v76ctrl_depolarizing_step_plot.png
m20240527cd,v76ctrl,hyperpolarizing_pulse,2550.0,2600.0,50.0,-31.248473999999995,2050.0,3100.0,2050.0,2700.0,650.0,13000,True,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v76ctrl_hyperpolarizing_pulse_v.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v76ctrl_hyperpolarizing_pulse_i.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v76ctrl_hyperpolarizing_pulse_t_ms.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v76ctrl_hyperpolarizing_pulse_plot.png
m20240527cd,v77ctrl,depolarizing_step,200.0,500.0,300.0,484.35137699999996,0.0,1200.0,0.0,1200.0,1200.0,24000,False,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v77ctrl_depolarizing_step_v.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v77ctrl_depolarizing_step_i.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v77ctrl_depolarizing_step_t_ms.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v77ctrl_depolarizing_step_plot.png
m20240527cd,v77ctrl,hyperpolarizing_pulse,2550.0,2600.0,50.0,-31.248473999999995,2050.0,3100.0,2050.0,2700.0,650.0,13000,True,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v77ctrl_hyperpolarizing_pulse_v.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v77ctrl_hyperpolarizing_pulse_i.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v77ctrl_hyperpolarizing_pulse_t_ms.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v77ctrl_hyperpolarizing_pulse_plot.png
m20240527cd,v78ctrl,depolarizing_step,200.0,500.0,300.0,581.221617,0.0,1200.0,0.0,1200.0,1200.0,24000,False,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v78ctrl_depolarizing_step_v.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v78ctrl_depolarizing_step_i.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v78ctrl_depolarizing_step_t_ms.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/depolarizing_step/v78ctrl_depolarizing_step_plot.png
m20240527cd,v78ctrl,hyperpolarizing_pulse,2550.0,2600.0,50.0,-31.248473999999995,2050.0,3100.0,2050.0,2700.0,650.0,13000,True,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v78ctrl_hyperpolarizing_pulse_v.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v78ctrl_hyperpolarizing_pulse_i.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v78ctrl_hyperpolarizing_pulse_t_ms.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20240527cd/hyperpolarizing_pulse/v78ctrl_hyperpolarizing_pulse_plot.png
m20260331b,v34ctrl,depolarizing_step,1000.0,1300.0,300.0,296.8605,800.0,2000.0,800.0,2000.0,1200.0,24000,False,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20260331b/depolarizing_step/v34ctrl_depolarizing_step_v.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20260331b/depolarizing_step/v34ctrl_depolarizing_step_i.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20260331b/depolarizing_step/v34ctrl_depolarizing_step_t_ms.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20260331b/depolarizing_step/v34ctrl_depolarizing_step_plot.png
m20260331b,v34ctrl,hyperpolarizing_pulse,2300.0,2350.0,50.0,-31.24848,1800.0,2850.0,1800.0,2850.0,1050.0,21000,False,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20260331b/hyperpolarizing_pulse/v34ctrl_hyperpolarizing_pulse_v.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20260331b/hyperpolarizing_pulse/v34ctrl_hyperpolarizing_pulse_i.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20260331b/hyperpolarizing_pulse/v34ctrl_hyperpolarizing_pulse_t_ms.txt,/Users/romanbaravalle/Documents/Consultancy/JaxleyPYRModel/JaxleyModel/Experimental_currentClamp_Analysis/Segmented_Traces/m20260331b/hyperpolarizing_pulse/v34ctrl_hyperpolarizing_pulse_plot.png
